trade_date,vintage,open,high,low,close,chg_pct,total_vol_t,total_amt_cny,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,auction_vol_t,auction_amt_cny,source_month
2025-12-31,CEA19-20,74.0,74.0,74.0,74.0,2.17,40000.0,2960000.0,40000.0,2960000.0,0.0,0.0,0.0,0.0,2025-12
2025-12-31,CEA21,74.52,74.52,74.52,74.52,2.08,26089.0,1944152.0,26089.0,1944152.28,0.0,0.0,0.0,0.0,2025-12
2025-12-31,CEA22,73.05,74.52,73.05,73.81,1.04,118812.0,8769170.0,118812.0,8769170.24,0.0,0.0,0.0,0.0,2025-12
2025-12-31,CEA23,74.1,76.5,74.1,74.43,2.24,29010.0,2159265.0,29010.0,2159265.0,0.0,0.0,0.0,0.0,2025-12
2025-12-31,CEA24,74.0,80.39,73.05,76.39,4.53,751201.0,57385610.0,651201.0,49745610.37,100000.0,7640000.0,0.0,0.0,2025-12
2026-01-05,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-05,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-05,CEA22,73.81,73.81,73.81,73.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-05,CEA23,74.43,74.43,74.43,74.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-05,CEA24,76.39,76.39,76.39,76.39,0.0,1000.0,76390.0,1000.0,76390.0,0.0,0.0,0.0,0.0,2026-01
2026-01-05,CEA25,74.63,74.63,74.63,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-06,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-06,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-06,CEA22,76.39,76.39,76.39,76.39,3.5,1000.0,76390.0,1000.0,76390.0,0.0,0.0,0.0,0.0,2026-01
2026-01-06,CEA23,70.0,70.0,70.0,70.0,5.95,4316.0,302120.0,4316.0,302120.0,0.0,0.0,0.0,0.0,2026-01
2026-01-06,CEA24,76.39,76.39,76.39,76.39,0.0,100000.0,8000000.0,0.0,0.0,100000.0,8000000.0,0.0,0.0,2026-01
2026-01-06,CEA25,74.63,74.63,74.63,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-07,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-07,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
