trade_date,source,price_basis,open,high,low,close,close_vintage,listed_vol_t,listed_amt_cny,listed_vwap,block_vol_t,block_amt_cny,block_vwap,auction_vol_t,auction_amt_cny,total_vol_t,total_amt_cny,total_vwap,cum_vol_t,cum_amt_cny
2021-11-26,seee,listed,42.8,42.9,42.79,42.85,,549229.0,23533315.22,42.8479,3556213.0,150402537.7,42.2929,,,4105442.0,173935852.92,42.3671,37228212.0,1596517721.94
2021-11-29,seee,listed,43.2,43.2,42.87,42.92,,394710.0,16942920.82,42.925,2578421.0,106549208.1,41.3234,,,2973131.0,123492128.92,41.5361,40201343.0,1720009850.86
2021-11-30,seee,listed,42.98,43.0,42.9,42.95,,344048.0,14778355.94,42.9543,2686319.0,112337492.84,41.8184,,,3030367.0,127115848.78,41.9473,43231710.0,1847125699.64
2021-12-01,seee,listed,42.95,42.99,42.95,42.97,,701627.0,30148083.95,42.9688,1866095.0,78286288.9,41.9519,,,2567722.0,108434372.85,42.2298,45799432.0,1955560072.49
2021-12-02,seee,listed,42.97,43.0,40.0,42.88,,750085.0,32161216.13,42.8768,1921051.0,76670299.88,39.9106,,,2671136.0,108831516.01,40.7435,48470568.0,2064391588.5
2021-12-03,seee,listed,43.0,43.0,42.85,42.94,,782345.0,33591302.44,42.9367,2144185.0,86088736.0,40.1499,,,2926530.0,119680038.44,40.8949,51397098.0,2184071626.94
2021-12-06,seee,listed,42.89,42.92,42.5,42.79,,430284.0,18411691.61,42.7896,2862848.0,119124197.97,41.6104,,,3293132.0,137535889.58,41.7645,54690230.0,2321607516.52
2021-12-07,seee,listed,42.5,42.6,40.4,42.13,,367717.0,15490200.26,42.1253,4041746.0,155708232.65,38.525,,,4409463.0,171198432.91,38.8252,59099693.0,2492805949.43
2021-12-08,seee,listed,42.42,42.42,40.91,41.46,,458710.0,19017602.53,41.4589,3888367.0,149322129.86,38.4023,,,4347077.0,168339732.39,38.7248,63446770.0,2661145681.82
2021-12-09,seee,listed,42.89,42.89,41.2,41.56,,936350.0,38916721.44,41.5622,5019815.0,194114426.28,38.6696,,,5956165.0,233031147.72,39.1244,69402935.0,2894176829.54
2021-12-10,seee,listed,42.0,43.19,42.0,42.69,,1605304.0,68531005.18,42.6904,5915915.0,240059751.03,40.5786,,,7521219.0,308590756.21,41.0294,76924154.0,3202767585.75
2021-12-13,seee,listed,43.5,43.5,42.6,42.95,,1587253.0,68167517.21,42.9469,6436821.0,243306624.84,37.7992,,,8024074.0,311474142.05,38.8175,84948228.0,3514241727.8
2021-12-14,seee,listed,42.68,43.32,42.68,42.93,,2461201.0,105670179.8,42.9344,12419569.0,521026099.22,41.952,,,14880770.0,626696279.02,42.1145,99828998.0,4140938006.82
2021-12-15,seee,listed,42.72,44.0,42.72,43.06,,1052579.0,45324379.55,43.0603,6573605.0,239610944.33,36.4505,,,7626184.0,284935323.88,37.3628,107455182.0,4425873330.7
2021-12-16,seee,listed,43.65,45.2,43.15,44.22,,901715.0,39874009.6,44.2202,19579226.0,777344108.35,39.7025,,,20480941.0,817218117.95,39.9014,127936123.0,5243091448.65
2021-12-17,seee,listed,44.5,46.99,44.5,46.66,,645303.0,30112395.39,46.664,2014648.0,83522909.39,41.4578,,,2659951.0,113635304.78,42.7208,130596074.0,5356726753.43
2021-12-20,seee,listed,47.5,51.33,45.01,49.18,,1160785.0,57088833.17,49.1812,2184333.0,93734159.94,42.912,,,3345118.0,150822993.11,45.0875,133941192.0,5507549746.54
2021-12-21,seee,listed,48.6,51.0,48.6,49.49,,829197.0,41036548.45,49.4895,2312844.0,107097518.15,46.3056,,,3142041.0,148134066.6,47.1458,137083233.0,5655683813.14
2021-12-22,seee,listed,49.49,49.49,49.25,49.39,,736063.0,36355479.38,49.3918,2534540.0,110077085.1,43.4308,,,3270603.0,146432564.48,44.7723,140353836.0,5802116377.62
2021-12-23,seee,listed,49.46,49.79,49.45,49.57,,1328920.0,65870679.69,49.5671,5294432.0,240176058.2,45.3639,,,6623352.0,306046737.89,46.2072,146977188.0,6108163115.51
2021-12-24,seee,listed,49.8,49.8,49.29,49.52,,534403.0,26461141.83,49.5153,3207247.0,147122307.2,45.8718,,,3741650.0,173583449.03,46.3922,150718838.0,6281746564.54
2021-12-27,seee,listed,49.64,49.7,47.0,48.13,,566528.0,27266851.84,48.1298,3024070.0,133347488.72,44.0954,,,3590598.0,160614340.56,44.7319,154309436.0,6442360905.1
2021-12-28,seee,listed,52.8,52.94,48.6,51.69,,1084789.0,56075823.1,51.6928,3808055.0,156772307.59,41.1686,,,4892844.0,212848130.69,43.5019,159202280.0,6655209035.79
2021-12-29,seee,listed,54.5,56.86,54.5,56.64,,1048544.0,59388506.55,56.639,4835467.0,216654047.3,44.8052,,,5884011.0,276042553.85,46.914,165086291.0,6931251589.64
2021-12-30,seee,listed,62.0,62.29,53.0,57.06,,1382607.0,78889513.13,57.0585,9360636.0,495235880.24,52.9062,,,10743243.0,574125393.37,53.4406,175829534.0,7505376983.01
2021-12-31,seee,listed,55.0,56.0,53.5,54.22,,423847.0,22980366.7,54.2185,2535969.0,132872673.28,52.3952,,,2959816.0,155853039.98,52.6563,178789350.0,7661230022.99
2022-05-26,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,130000.0,7670000.0,59.0,,,130010.0,7670590.0,59.0,191715630.0,8363454065.02
2022-05-27,seee,listed,59.0,59.0,59.0,59.0,,21010.0,1239590.0,59.0,400000.0,21800000.0,54.5,,,421010.0,23039590.0,54.7246,192136640.0,8386493655.02
2022-05-30,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192136650.0,8386494245.02
2022-05-31,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,600000.0,32700000.0,54.5,,,600010.0,32700590.0,54.5001,192736660.0,8419194835.02
2022-06-01,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,100000.0,5500000.0,55.0,,,100010.0,5500590.0,55.0004,192836670.0,8424695425.02
2022-06-02,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192836680.0,8424696015.02
2022-06-06,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192836690.0,8424696605.02
2022-06-07,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192836700.0,8424697195.02
2022-06-08,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192836710.0,8424697785.02
2022-06-09,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,150000.0,8955000.0,59.7,,,150010.0,8955590.0,59.7,192986720.0,8433653375.02
2022-06-10,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192986730.0,8433653965.02
2022-06-13,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192986740.0,8433654555.02
2022-06-14,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192986750.0,8433655145.02
2022-06-15,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192986760.0,8433655735.02
2022-06-16,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192986770.0,8433656325.02
2022-06-17,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,192986780.0,8433656915.02
2022-06-20,seee,listed,59.0,59.5,59.0,59.25,,20.0,1185.0,59.25,0.0,0.0,,,,20.0,1185.0,59.25,192986800.0,8433658100.02
2022-06-21,seee,listed,59.6,59.6,59.6,59.6,,50.0,2980.0,59.6,0.0,0.0,,,,50.0,2980.0,59.6,192986850.0,8433661080.02
2022-06-22,seee,listed,60.0,60.0,60.0,60.0,,30.0,1800.0,60.0,150000.0,9000000.0,60.0,,,150030.0,9001800.0,60.0,193136880.0,8442662880.02
2022-06-23,seee,listed,60.0,60.0,60.0,60.0,,10.0,600.0,60.0,250000.0,13750000.0,55.0,,,250010.0,13750600.0,55.0002,193386890.0,8456413480.02
2022-06-24,seee,listed,60.0,60.0,60.0,60.0,,10.0,600.0,60.0,120000.0,7344000.0,61.2,,,120010.0,7344600.0,61.1999,193506900.0,8463758080.02
2022-06-27,seee,listed,60.0,60.0,60.0,60.0,,10.0,600.0,60.0,0.0,0.0,,,,10.0,600.0,60.0,193506910.0,8463758680.02
2022-06-28,seee,listed,59.0,59.0,59.0,59.0,,20.0,1180.0,59.0,0.0,0.0,,,,20.0,1180.0,59.0,193506930.0,8463759860.02
