cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
112,37.75,118.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
113,37.75,118.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
114,37.75,118.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
115,37.75,118.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
116,37.75,119.0,1.0,0.9651,0.0,0,1,1.0,0.9651,0.9651,0.9651,fallback:w_province
117,37.75,119.25,0.0,0.5247,0.0,0,1,1.0,0.5247,0.5247,0.5247,fallback:w_province
118,37.75,119.5,0.0,0.0,0.0659,1,1,1.0,0.0,0.0,0.0,fallback:w_province
119,37.75,119.75,0.0,0.0,0.2182,1,1,1.0,0.0,0.0,0.0,fallback:w_province
120,37.75,120.0,0.0,0.0,0.0856,1,1,1.0,0.0,0.0,0.0,fallback:w_province
121,37.75,120.25,0.0,0.1428,0.0,1,1,1.0,0.1428,0.1428,0.1428,fallback:w_province
122,37.75,120.5,0.0,0.5069,0.0,1,1,1.0,0.5069,0.5069,0.5069,fallback:w_province
123,37.75,120.75,1.0,0.7785,0.0,1,1,1.0,0.7785,0.7785,0.7785,fallback:w_province
124,37.75,121.0,0.0,0.5491,0.0,1,1,1.0,0.5491,0.5491,0.5491,fallback:w_province
125,37.75,121.25,0.0,0.0474,0.0,1,1,1.0,0.0474,0.0474,0.0474,fallback:w_province
126,37.75,121.5,0.0,0.0007,0.0,1,1,1.0,0.0007,0.0007,0.0007,fallback:w_province
127,37.75,121.75,0.0,0.0,0.1165,1,1,1.0,0.0,0.0,0.0,fallback:w_province
128,37.75,122.0,0.0,0.0,0.0563,1,1,1.0,0.0,0.0,0.0,fallback:w_province
129,37.75,122.25,0.0,0.0,0.0577,1,1,1.0,0.0,0.0,0.0,fallback:w_province
130,37.75,122.5,0.0,0.0,0.17,1,1,1.0,0.0,0.0,0.0,fallback:w_province
131,37.75,122.75,0.0,0.0,0.1963,1,1,1.0,0.0,0.0,0.0,fallback:w_province
132,37.5,114.75,1.0,0.0,0.8624,0,0,0.0,0.0,0.0,0.0,fallback:w_province
133,37.5,115.0,1.0,0.0,0.7103,0,0,0.0,0.0,0.0,0.0,fallback:w_province
134,37.5,115.25,1.0,0.0,0.552,0,0,0.0,0.0,0.0,0.0,fallback:w_province
135,37.5,115.5,1.0,0.0,0.3308,0,0,0.0,0.0,0.0,0.0,fallback:w_province
136,37.5,115.75,1.0,0.0,0.1076,0,0,0.0,0.0,0.0,0.0,fallback:w_province
137,37.5,116.0,1.0,0.0,0.0007,0,0,0.0,0.0,0.0,0.0,fallback:w_province
138,37.5,116.25,1.0,0.3359,0.0,0,1,1.0,0.3359,0.3359,0.3359,fallback:w_province
139,37.5,116.5,1.0,0.7008,0.0,0,1,1.0,0.7008,0.7008,0.7008,fallback:w_province
140,37.5,116.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
141,37.5,117.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
142,37.5,117.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
143,37.5,117.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
144,37.5,117.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
145,37.5,118.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
146,37.5,118.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
147,37.5,118.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
148,37.5,118.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
149,37.5,119.0,0.0,0.3452,0.0,0,1,1.0,0.3452,0.3452,0.3452,fallback:w_province
150,37.5,119.25,0.0,0.0,0.0239,0,0,0.0,0.0,0.0,0.0,fallback:w_province
151,37.5,119.5,0.0,0.0,0.1154,1,1,1.0,0.0,0.0,0.0,fallback:w_province
