id,latitude,longitude,count,capacity_mw,iso3,landscape_area_km2
25614,37.258031,119.004567,35,71.2133854982157,CHN,48.1897945241299
25615,37.212529,119.096334,41,81.5652542633853,CHN,62.7906361507511
25616,37.999042,118.960127,9,15.9969251342633,CHN,7.52879399737859
25621,34.439741,119.91014,86,,CHN,75.9164098036947
25627,35.997457,119.940144,2,,CHN,3.00658262198257
25628,37.868908,118.129441,5,6.05836824983904,CHN,5.64274400509834
25629,37.919179,118.105757,18,36.2561395101421,CHN,19.1122050400085
25630,37.964467,118.103382,2,,CHN,2.82845173082113
25631,37.984741,118.081868,10,16.8309248795919,CHN,11.3641049312668
25632,38.021967,118.041616,16,30.3617115524235,CHN,20.8737738001709
25633,38.018143,118.261986,3,,CHN,4.50931668946075
25634,38.033624,118.296185,3,,CHN,3.6034912437253
25635,38.122516,118.281494,4,,CHN,5.40509937051302
25636,37.091402,119.480147,6,8.64459964066775,CHN,6.07802937889671
25637,37.102871,119.528448,58,102.997883334302,CHN,43.2526471608572
25649,37.976526,118.955659,4,,CHN,5.21902822372627
25650,38.2188,117.773223,33,63.7428370281277,CHN,21.651274370964
25677,34.513484,119.681708,48,,CHN,39.7737296751919
25806,36.187153,118.789734,5,8.05727222066302,CHN,3.91684057296443
25807,36.201477,118.779181,69,91.7966786502986,CHN,25.6465722527726
25808,36.184617,118.828062,4,,CHN,2.7516716890375
25809,36.188234,118.744491,3,,CHN,2.85862560361814
25810,36.137586,118.682625,9,15.9423251256052,CHN,7.668870880512
25811,36.106215,118.782397,11,18.3989734808895,CHN,5.52613919745779
25812,36.117478,118.772225,13,24.5997772366249,CHN,8.61044616974354
25813,36.087474,118.530896,20,39.921143553122,CHN,14.10809600914
25814,36.108517,118.512221,7,12.1217191758763,CHN,4.90577565761139
25815,36.131224,118.737835,2,,CHN,2.52216591769254
25816,36.145735,118.727243,4,,CHN,3.26904875893056
25817,36.078657,118.541191,3,,CHN,2.89478209729052
25818,36.068554,118.539582,2,,CHN,2.62947975275183
25819,35.58237,119.128713,7,11.9307247601683,CHN,5.41609483927154
25820,35.587726,119.107724,5,6.47072146781894,CHN,5.26933878497028
25821,37.072303,119.509125,5,6.50470791615783,CHN,5.2394889750638
25822,37.107893,119.610821,4,,CHN,3.15988570926762
25823,37.125215,119.611598,5,6.45092171511633,NA,5.28678609027433
25824,37.261664,118.93648,2,,CHN,3.15952963471222
25825,37.31335,118.945969,7,11.2809471775242,CHN,6.40006207719517
25826,37.336516,118.91243,39,77.6564840490941,CHN,34.2432217693977
25827,37.324977,118.850659,3,,CHN,3.81953467346478
25828,37.509154,118.90455,24,49.0977681791855,CHN,19.1798675866477
25829,37.978613,118.934468,2,,CHN,2.85213261568737
25830,37.991404,118.908435,2,,CHN,2.96775986639261
25831,38.000892,118.900383,3,,CHN,3.93685736452198
25832,38.003215,118.925939,5,5.39855969997648,CHN,6.29809688202
25833,37.24647,118.925233,3,,CHN,4.17689365862274
25834,37.274113,118.866628,8,11.9474787484428,CHN,9.46411154318583
25835,37.29385,118.88434,16,31.8637352997505,CHN,15.4615468750162
26027,36.383562,117.825837,33,60.7667382666852,CHN,18.6238881767566
26078,35.998072,118.925103,5,5.68635240102895,CHN,6.0018433434062
26079,35.935491,118.901143,3,,CHN,3.82261311781597
26080,35.954014,118.899839,5,6.78163908561255,CHN,5.0003850624609
26081,35.99739,118.880696,10,18.2874532066328,CHN,8.17981606252098
26082,35.974325,118.894009,2,,CHN,2.41714110878709
26083,35.98772,118.902098,2,,CHN,2.95390880167007
26084,35.604113,119.077756,7,11.7632179454329,CHN,5.71284473012114
26085,35.680533,119.122572,18,36.3853886313812,CHN,14.6197153962727
26086,35.989268,119.94806,3,,CHN,4.04555727046108
26087,36.265274,116.538433,11,20.5430800602804,CHN,9.03928162350345
26088,36.312198,116.587978,27,55.4015361501286,CHN,22.5073691612535
26089,36.278293,116.537498,3,,CHN,3.26105356110764
26090,36.295949,116.619051,3,,CHN,3.48588950282228
26091,36.345602,116.593857,14,27.1558272974916,CHN,10.1307130731845
26092,36.297292,116.541146,3,,CHN,3.22575508646949
26272,34.966447,118.730243,7,10.2609293387386,CHN,7.66067706452227
