latitude,longitude,capacity_mw,capacity_std_mw,hub_height_m,class,first_operating_quarter,water_depth_m,nation
34.306616,120.687985,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318653,120.701549,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318833,120.672085,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.318653,120.69562,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.306616,120.677924,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.318384,120.707478,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318743,120.683852,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2020Q4,-15.0,China
34.318743,120.689691,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.306526,120.70667,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318743,120.713227,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.306436,120.72248,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.306256,120.738201,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.306346,120.730475,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.318294,120.719336,4.29370567715868,0.1921129580752742,90.60132558125464,owt,Y2021Q1,-15.0,China
34.269605,120.491433,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-12.0,China
34.272839,120.486133,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-12.0,China
34.27778,120.497632,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q4,-13.0,China
34.266461,120.496644,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.274636,120.502932,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.263497,120.501854,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.268258,120.513532,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.262149,120.524042,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.257029,120.512364,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.287751,120.536798,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2018Q4,-13.0,China
34.296285,120.544883,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-14.0,China
34.265203,120.518832,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.291524,120.53078,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-13.0,China
34.258825,120.529342,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.294848,120.524851,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-13.0,China
34.284248,120.542727,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q1,-13.0,China
34.291883,120.55207,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-14.0,China
34.255681,120.534642,3.832008303992556,0.19368904464490772,87.30177799228815,owt,Y2019Q3,-13.0,China
34.280475,120.548746,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q1,-13.0,China
34.259185,120.584499,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q3,-14.0,China
34.270593,120.587823,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q3,-14.0,China
34.290716,120.576324,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q4,-14.0,China
34.2829,120.58926,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q3,-14.0,China
