latitude,longitude,installation_year,sea_name,water_depth_m,distance_to_shore_km
37.240091,119.423853,2022,Bohai,-7.11,12.38
37.873267,120.376431,2023,Bohai,-16.75,12.87
37.873332,120.343605,2023,Bohai,-16.72,14.78
37.873236,120.384674,2023,Bohai,-15.76,12.51
37.87323,120.40108,2023,Bohai,-15.79,11.99
37.865181,120.294079,2023,Bohai,-16.7,17.96
37.86046,120.363254,2023,Bohai,-16.59,12.02
37.859364,120.371442,2023,Bohai,-15.6,11.4
37.859298,120.387905,2023,Bohai,-14.77,10.55
37.859244,120.396126,2023,Bohai,-14.93,10.23
37.859238,120.379752,2023,Bohai,-14.76,10.93
37.851267,120.288595,2023,Bohai,-16.7,17.41
37.851209,120.280642,2023,Bohai,-16.7,18.18
37.851188,120.328845,2023,Bohai,-16.71,13.68
37.851199,120.336924,2023,Bohai,-16.72,13
37.851199,120.304683,2023,Bohai,-16.7,15.87
37.851084,120.312788,2023,Bohai,-16.71,15.11
37.851076,120.320837,2023,Bohai,-16.71,14.38
37.842777,120.272221,2023,Bohai,-16.7,18.5
37.829036,120.258682,2023,Bohai,-16.72,19.24
37.829041,120.282182,2023,Bohai,-16.72,16.76
37.828906,120.321545,2023,Bohai,-16.71,12.69
37.828915,120.266486,2023,Bohai,-16.72,18.41
37.82897,120.274337,2023,Bohai,-16.72,17.58
37.828905,120.297989,2023,Bohai,-16.71,15.1
37.828856,120.30589,2023,Bohai,-16.71,14.28
37.828915,120.313709,2023,Bohai,-16.71,13.49
37.82885,120.290095,2023,Bohai,-16.71,15.92
37.828722,120.345169,2023,Bohai,-16.72,10.37
37.820755,120.326899,2023,Bohai,-16.71,11.69
37.820277,120.334812,2023,Bohai,-16.71,10.85
37.819252,120.249202,2023,Bohai,-16.72,18.42
37.819198,120.312639,2023,Bohai,-16.71,13.1
37.806749,120.255625,2024,Bohai,-16.72,16.72
37.80668,120.271974,2024,Bohai,-15.72,16.72
37.806772,120.239435,2024,Bohai,-16.71,16.61
37.806747,120.247518,2024,Bohai,-16.71,16.65
37.806684,120.263833,2024,Bohai,-15.72,16.69
37.806569,120.296424,2024,Bohai,-15.71,14.42
37.806738,120.304512,2024,Bohai,-15.71,13.54
37.806689,120.312704,2024,Bohai,-16.7,12.64
37.806496,120.288328,2024,Bohai,-15.71,15.31
37.806611,120.320682,2024,Bohai,-16.7,11.77
37.799327,120.309407,2024,Bohai,-15.7,12.85
37.792728,120.271717,2024,Bohai,-14.71,14.76
37.792728,120.287036,2024,Bohai,-15.71,14.97
37.78457,120.239338,2024,Bohai,-16.71,13.48
37.784591,120.263988,2024,Bohai,-14.71,13.58
37.784518,120.288696,2024,Bohai,-15.7,13.82
37.784364,120.280503,2024,Bohai,-14.7,13.69
37.873295,120.410336,2023,Bohai,-16.79,11.82
37.851199,120.296678,2023,Bohai,-16.7,16.62
38.279433,118.879461,2022,Bohai,-16.17,18.64
38.00304,119.271244,2025,Bohai,-15.72,13.7
37.963483,121.858878,2023,Yellow Sea,-40.44,57.39
37.954311,121.874682,2023,Yellow Sea,-38.53,57.22
37.952322,121.858879,2023,Yellow Sea,-38.42,56.04
37.940322,121.859473,2023,Yellow Sea,-37.4,54.64
37.939431,121.870412,2023,Yellow Sea,-37.38,55.2
37.937799,121.881463,2023,Yellow Sea,-37.35,55.65
37.935799,121.892463,2023,Yellow Sea,-37.34,54.92
37.933931,121.904162,2023,Yellow Sea,-38.32,54.2
37.931304,121.913978,2023,Yellow Sea,-38.31,53.48
37.92546,121.860448,2023,Yellow Sea,-35.37,52.95
37.92363,121.874753,2023,Yellow Sea,-36.35,53.64
37.921561,121.88906,2023,Yellow Sea,-37.33,53.21
37.919669,121.902884,2023,Yellow Sea,-39.45,52.38
37.918194,121.913825,2023,Yellow Sea,-40.16,51.75
37.916452,121.858232,2023,Yellow Sea,-35.37,51.75
37.910404,121.866552,2023,Yellow Sea,-34.35,51.59
37.908454,121.882279,2023,Yellow Sea,-35.33,51.83
37.906507,121.871932,2023,Yellow Sea,-34.34,51.5
37.904023,121.858255,2023,Yellow Sea,-34.21,50.32
37.903919,121.913763,2023,Yellow Sea,-36.3,49.87
37.896585,121.863273,2023,Yellow Sea,-33.34,49.8
37.894992,121.873308,2023,Yellow Sea,-33.48,50.3
37.892372,121.893286,2023,Yellow Sea,-33.32,49.25
37.890964,121.903258,2023,Yellow Sea,-34.31,48.62
37.889408,121.913904,2023,Yellow Sea,-34.31,47.96
37.885781,121.858354,2023,Yellow Sea,-32.35,48.25
37.881309,121.869355,2023,Yellow Sea,-32.35,48.51
37.88002,121.880218,2023,Yellow Sea,-32.34,48.31
