trade_date,listed_vwap,block_vwap,block_discount_pct,block_vol_t
2024-07-03,90.6667,90.0,-0.735,150000.0
2024-07-08,92.4667,89.5,-3.208,335000.0
2024-07-10,90.056,93.15,3.436,320000.0
2024-07-11,89.9504,90.0,0.055,100000.0
2024-07-12,89.4238,91.5,2.322,200000.0
2024-07-17,86.0,90.0,4.651,300000.0
2024-07-18,89.4535,90.8,1.505,280000.0
2024-07-23,89.38,91.5,2.372,100000.0
2024-07-24,91.4677,92.049,0.636,490000.0
2024-07-25,88.4099,91.5238,3.522,210000.0
2024-07-29,91.5,91.85,0.383,174000.0
2024-07-30,90.6217,91.85,1.355,100000.0
2024-08-02,89.9,90.5,0.667,120000.0
2024-08-05,91.4911,90.5273,-1.053,550000.0
2024-08-07,91.7882,90.5,-1.403,180000.0
2024-08-08,92.4848,91.0,-1.605,100000.0
2024-08-09,90.6641,92.56,2.091,115000.0
2024-08-12,92.3673,92.3857,0.02,350000.0
2024-08-15,91.5,92.0,0.546,112554.0
2024-08-16,91.875,92.0,0.136,100000.0
2024-08-20,92.574,93.6,1.108,400000.0
2024-08-21,90.7363,73.9565,-18.493,1150000.0
2024-08-23,92.5212,94.6,2.247,100000.0
2024-08-28,94.6611,78.8714,-16.68,1050000.0
2024-09-02,95.3161,91.6,-3.899,250000.0
2024-09-04,96.0645,96.6,0.557,200000.0
2024-09-05,95.703,80.6011,-15.78,768343.0
2024-09-11,91.048,99.0,8.734,100000.0
2024-09-13,98.788,100.08,1.308,500000.0
2024-09-19,96.1542,101.1,5.144,300000.0
2024-09-20,98.4401,100.3402,1.93,409192.0
2024-09-23,100.0,100.5737,0.574,703701.0
2024-09-24,100.275,92.0,-8.252,350000.0
2024-09-25,97.3947,101.15,3.856,200000.0
2024-09-26,100.5737,100.65,0.076,400000.0
2024-09-27,100.426,99.8062,-0.617,356004.0
2024-09-30,100.0679,96.7262,-3.339,840000.0
2024-10-08,101.8782,85.0423,-16.526,710000.0
2024-10-09,102.0953,83.5556,-18.159,720000.0
2024-10-10,102.6397,101.9,-0.721,800000.0
2024-10-11,95.9949,100.775,4.98,400000.0
2024-10-14,103.9533,100.6853,-3.144,340000.0
2024-10-15,102.3137,101.401,-0.892,1000000.0
2024-10-16,102.9449,103.0,0.054,140000.0
2024-10-17,102.6885,86.2192,-16.038,292000.0
2024-10-18,102.8764,99.6177,-3.168,620000.0
2024-10-21,104.1715,98.0,-5.924,100000.0
2024-10-22,104.3325,97.1975,-6.839,810000.0
2024-10-23,104.3042,101.1429,-3.031,350000.0
2024-10-24,104.0966,103.25,-0.813,200000.0
2024-10-25,104.327,103.9167,-0.393,240000.0
2024-10-28,103.7073,97.6148,-5.875,1083798.0
2024-10-29,103.4004,88.7983,-14.122,835995.0
2024-10-30,104.121,74.37,-28.573,173139.0
2024-10-31,104.0492,102.0,-1.969,330000.0
2024-11-01,104.4883,92.9675,-11.026,1540000.0
2024-11-04,104.9068,102.3351,-2.451,570000.0
2024-11-05,104.9683,103.1381,-1.744,2155000.0
2024-11-06,105.6034,103.4748,-2.016,556000.0
2024-11-07,105.3967,97.1771,-7.799,697420.0
2024-11-08,105.1063,100.788,-4.109,2688230.0
2024-11-11,105.0349,103.5808,-1.384,1864192.0
2024-11-12,104.9963,99.0045,-5.707,1245251.0
2024-11-13,105.6648,100.8964,-4.513,1916930.0
2024-11-14,105.1037,100.0285,-4.829,860596.0
2024-11-15,104.9146,100.9937,-3.737,3030733.0
2024-11-18,104.7605,98.8139,-5.676,2723005.0
